target_vpp_mv,frame,codes,pred_vpp_mv
10.0,0,301.297,10.272882532890417
10.0,1,312.966,10.637883252319376
10.0,2,328.996,11.139293958673498
10.0,3,313.036,10.64007281872267
10.0,4,275.584,9.419324407925545
10.0,5,297.2,10.144730339257675
10.0,6,300.824,10.258087319908164
10.0,7,292.573,10.0
10.0,8,294.105,10.047920224712072
10.0,9,289.402,9.891616793073865
10.0,10,292.575,10.000062559040094
10.0,11,293.86,10.040256742300548
10.0,12,307.95,10.480985179763403
10.0,13,311.328,10.586647398482317
10.0,14,292.495,9.997333998694343
10.0,15,289.406,9.89175351108954
10.0,16,292.493,9.997265639686505
10.0,17,298.799,10.194746291812898
10.0,18,306.66,10.440634598902715
10.0,19,314.026,10.671039543569245
10.0,20,311.049,10.577920412389192
10.0,21,284.81,9.734664511079286
10.0,22,280.04,9.571628277387182
10.0,23,287.04,9.810884804817944
10.0,24,303.183,10.331875707699142
10.0,25,296.13,10.111261252807337
10.0,26,289.655,9.900264207565291
10.0,27,307.717,10.47369705159244
10.0,28,279.311,9.546711419030464
10.0,29,288.678,9.86687083223674
10.0,30,304.165,10.36259219638534
10.0,31,290.082,9.914858855738567
10.0,32,294.096,10.047638709031649
10.0,33,292.573,10.0
10.0,34,289.712,9.902212439288656
10.0,35,300.088,10.23506559315354
10.0,36,310.707,10.567222816533103
10.0,37,320.569,10.875701443237055
10.0,38,297.669,10.159400434159739
10.0,39,274.825,9.393382164451266
10.0,40,296.96,10.137223254446385
10.0,41,307.416,10.464281916058281
10.0,42,310.936,10.574385826623876
10.0,43,327.232,11.084116885310513
10.0,44,310.519,10.56134226676426
10.0,45,280.523,9.588136977779907
10.0,46,286.607,9.796085079621156
10.0,47,299.917,10.229716795225494
10.0,48,300.584,10.250580235096873
10.0,49,292.785,10.006631258249975
10.0,50,290.544,9.930649786548997
10.0,51,292.486,9.997026383159074
10.0,52,294.752,10.068158074182511
10.0,53,298.563,10.187364325081797
10.0,54,292.494,9.997299819190427
10.0,55,289.404,9.891685152081703
10.0,56,294.101,10.047795106631884
10.0,57,291.768,9.972485499345463
10.0,58,296.722,10.129778728675188
10.0,59,301.641,10.2836426877866
10.0,60,310.515,10.56121714868407
10.0,61,315.265,10.709794868907531
10.0,62,322.688,10.941982746216743
10.0,63,292.206,9.987456122061847
10.0,64,279.512,9.553581499318119
10.0,65,302.59,10.313326952311243
10.0,66,309.121,10.517613497738491
10.0,67,316.808,10.758059168340122
10.0,68,305.335,10.39918923484038
10.0,69,276.518,9.45124806458559
10.0,70,284.386,9.720172401417766
10.0,71,303.525,10.34257330355523
10.0,72,293.973,10.043791328065863
10.0,73,291.671,9.96917008746535
10.0,74,292.785,10.006631258249975
10.0,75,293.85,10.039943947100078
10.0,76,294.419,10.057741994006845
10.0,77,297.467,10.153081971110236
10.0,78,307.549,10.468442092224537
10.0,79,291.876,9.97617688576868
10.0,80,294.105,10.047920224712072
10.0,81,292.573,10.0
10.0,82,289.405,9.891719331585621
10.0,83,296.281,10.115984460334442
10.0,84,300.754,10.255897753504872
10.0,85,309.33,10.524150917428322
10.0,86,316.854,10.759498026262285
10.0,87,313.93,10.668036709644728
10.0,88,274.93,9.396971012362728
10.0,89,293.834,10.039443474779324
10.0,90,301.589,10.282016152744152
10.0,91,294.9,10.072787443149473
10.0,92,319.873,10.853930897284313
10.0,93,301.304,10.273101489530745
10.0,94,277.398,9.481326028034031
10.0,95,290.859,9.941416330283381
10.0,96,305.421,10.401879273564427
10.0,97,295.775,10.100157023190636
10.0,98,292.75,10.005536475048327
10.0,99,294.105,10.047920224712072
10.0,100,292.788,10.006725096810115
10.0,101,292.572,9.999965820496083
10.0,102,294.845,10.071067069546887
10.0,103,299.292,10.210167095196091
10.0,104,308.974,10.513015408291576
10.0,105,289.405,9.891719331585621
10.0,106,292.495,9.997333998694343
10.0,107,291.655,9.968623215402651
10.0,108,293.917,10.042039674943227
10.0,109,302.981,10.325557244649639
10.0,110,311.731,10.599253045061277
10.0,111,322.816,10.945986524782764
10.0,112,315.299,10.710858372589131
10.0,113,288.789,9.870664757171715
10.0,114,287.21,9.816695320484119
10.0,115,302.755,10.318488073119006
10.0,116,301.494,10.279044598339684
10.0,117,294.096,10.047638709031649
10.0,118,305.14,10.393089728431207
10.0,119,276.15,9.438670007143516
10.0,120,287.415,9.823702118787448
10.0,121,301.175,10.269066431444678
10.0,122,304.757,10.38110967225319
10.0,123,302.166,10.300064435811297
10.0,124,292.287,9.990224661879259
10.0,125,292.573,10.0
10.0,126,292.785,10.006631258249975
10.0,127,294.012,10.045011229347697
10.0,128,297.81,10.163810846486372
10.0,129,307.473,10.466064848700963
10.0,130,312.683,10.629031148146064
10.0,131,291.657,9.968691574410489
10.0,132,294.105,10.047920224712072
10.0,133,292.494,9.997299819190427
10.0,134,296.134,10.111386370887526
10.0,135,307.452,10.465407978779973
10.0,136,314.088,10.672978873812161
10.0,137,320.846,10.884365870290088
10.0,138,307.633,10.471069571908489
10.0,139,278.756,9.527741794355595
10.0,140,290.3,9.922309987592842
10.0,141,303.328,10.336411238105962
10.0,142,292.138,9.985131915795373
10.0,143,292.494,9.997299819190427
10.0,144,275.264,9.408386966671568
10.0,145,295.794,10.10075133407153
10.0,146,303.86,10.35305194277099
10.0,147,292.381,9.993437535247612
10.0,148,289.406,9.89175351108954
10.0,149,291.655,9.968623215402651
10.0,150,292.671,10.003065392964611
10.0,151,300.297,10.241603012843372
10.0,152,308.478,10.497500766348242
10.0,153,314.974,10.700692528573843
10.0,154,312.713,10.629969533747476
10.0,155,294.49,10.059962839930185
10.0,156,285.015,9.741671309382616
10.0,157,301.197,10.269754580885712
10.0,158,310.118,10.548799179225394
10.0,159,315.144,10.70601004698184
10.0,160,323.066,10.953806404794525
10.0,161,298.251,10.177605114827118
10.0,162,280.769,9.5965451357439
10.0,163,285.658,9.763648730402327
10.0,164,302.406,10.307571520622588
10.0,165,293.299,10.022708931554154
10.0,166,291.653,9.968554856394816
