case,f0_hz,target_vpp_mv,frames,measured_vpp_median_mv,vpp_error_mv,vpp_stddev_mv,interference,h1_command_vpp_mv,h1_median_vpp_mv,h1_error_mv,h7_command_vpp_mv,h7_median_vpp_mv,h7_error_mv,h8_command_vpp_mv,h8_median_vpp_mv,h8_error_mv,h5_command_vpp_mv,h5_median_vpp_mv,h5_error_mv,h2_command_vpp_mv,h2_median_vpp_mv,h2_error_mv,h3_command_vpp_mv,h3_median_vpp_mv,h3_error_mv,delta_vs_hf_off_mv
low50_10k_h7_h8,10000.0,50.0,25,40.48360403235686,-9.516395967643142,0.011397006715530117,off,30.217377657954597,24.738,-5.479377657954597,18.130426594772757,14.462,-3.6684265947727575,12.08695106318184,9.602,-2.484951063181839,,,,,,,,,,
high250_60k_h5_h8,60000.0,250.0,25,242.97184255804063,-7.028157441959365,0.02082545321372238,off,155.7757292031368,149.92,-5.855729203136804,,,,51.925243067712266,50.752,-1.1732430677122636,72.69534029479718,71.212,-1.4833402947971734,,,,,,,
interp105_total150_h2_h3,105000.0,150.0,25,123.27591014614663,-26.72408985385337,0.014836217380719068,off,92.43463099171714,75.852,-16.58263099171714,,,,,,,,,,57.771644369823214,47.59,-10.18164436982321,57.771644369823214,47.5,-10.271644369823214,
edge495_total150_h2_h3,165000.0,150.0,25,125.66432416758892,-24.335675832411084,0.01603498048047015,off,84.61023547421605,76.81,-7.800235474216052,,,,,,,,,,52.88139717138504,48.082,-4.7993971713850385,52.88139717138504,48.126,-4.755397171385042,
hf_base_total150_h2_h3,100000.0,150.0,25,121.87268084688867,-28.12731915311133,0.06453546393999493,off,90.37027823523097,72.368,-18.002278235230975,,,,,,,,,,56.481423897019354,45.988,-10.493423897019355,56.481423897019354,46.072,-10.409423897019352,
hf_1mhz200_total150_h2_h3,100000.0,150.0,25,121.85481711345673,-28.145182886543267,0.07279531488269006,1MHz_200mVpp,90.37027823523097,72.362,-18.008278235230975,,,,,,,,,,56.481423897019354,45.988,-10.493423897019355,56.481423897019354,46.084,-10.397423897019351,-0.01786373343193759
