fundamental_hz,harmonic,target_frequency_hz,frames,true_relative_deg,measured_error_deg,circular_stddev_deg,resultant
10000.0,2,20000.0,10,0.0,0.16600000012427293,0.02289104644385293,0.9999999201902381
10000.0,3,30000.0,10,0.0,0.2390000004087697,0.023430749064333165,0.9999999163825215
10000.0,4,40000.0,10,0.0,0.6209999718892576,0.09093404922487579,0.9999987405598717
10000.0,5,50000.0,10,0.0,0.6799999233885762,0.13856409764504168,0.9999970756756513
10000.0,6,60000.0,10,0.0,0.8149999653496566,0.15774988536322862,0.9999962098009265
10000.0,7,70000.0,10,0.0,0.8659998079280773,0.2055336146744735,0.99999356588139
10000.0,8,80000.0,10,0.0,0.7959999950676208,0.051224993660096474,0.9999996003420288
20000.0,2,40000.0,10,0.0,0.069999999756318,0.021447610707043034,0.9999999299379951
20000.0,3,60000.0,10,0.0,0.11099999495798687,0.08791474544734522,0.9999988228062984
20000.0,4,80000.0,10,0.0,0.2509999904252352,0.08104937058887707,0.9999989994845132
20000.0,5,100000.0,10,0.0,0.01399999632998035,0.10442222846913997,0.9999983392269325
20000.0,6,120000.0,10,0.0,-0.2629997944394138,0.19084290856986486,0.9999944527774638
20000.0,7,140000.0,10,0.0,-0.7579996043605115,0.211745162602408,0.9999931711078853
