case,f0_hz,target_vpp_mv,measured_vpp_median_mv,vpp_error_mv,vpp_stddev_mv,interference,h1_command_vpp_mv,h1_median_vpp_mv,h1_error_mv,h7_command_vpp_mv,h7_median_vpp_mv,h7_error_mv,h8_command_vpp_mv,h8_median_vpp_mv,h8_error_mv,h5_command_vpp_mv,h5_median_vpp_mv,h5_error_mv,h2_command_vpp_mv,h2_median_vpp_mv,h2_error_mv,h3_command_vpp_mv,h3_median_vpp_mv,h3_error_mv,delta_vs_hf_off_mv
low50_10k_h7_h8,10000.0,50,49.82242464205123,-0.17757535794876844,0.013735829977835963,off,28.69639245532309,28.882,0.18560754467691254,17.217835473193855,17.086,-0.13183547319385625,11.478556982129236,11.184,-0.29455698212923664,,,,,,,,,,
high250_60k_h5_h8,60000.0,250,244.80843269138342,-5.191567308616584,0.04013018643877809,off,151.40687983631315,151.606,0.1991201636868425,,,,50.46895994543772,51.366,0.8970400545622823,70.6565439236128,71.984,1.3274560763871932,,,,,,,
interp105_total150_h2_h3,105000.0,150,149.66292316015858,-0.3370768398414157,0.01474566769922336,off,83.3477378910736,83.128,-0.2197378910736063,,,,,,,,,,52.092336181921006,52.108,0.0156638180789912,52.092336181921006,52.092,-0.00033618192100703936,
edge495_total150_h2_h3,165000.0,150,138.8539859664173,-11.146014033582702,0.015732749342771517,off,83.3477378910736,83.392,0.04426210892638949,,,,,,,,,,52.092336181921006,52.036,-0.056336181921004425,52.092336181921006,52.268,0.1756638180789949,
hf_base_total150_h2_h3,100000.0,150,151.7170070379109,1.7170070379108893,0.05756458541764575,off,83.3477378910736,83.466,0.11826210892638755,,,,,,,,,,52.092336181921006,52.984,0.891663818078996,52.092336181921006,53.154,1.0616638180789977,
hf_1mhz200_total150_h2_h3,100000.0,150,151.7183617218779,1.7183617218778977,0.07209339809007327,1MHz_200mVpp,83.3477378910736,83.472,0.12426210892638778,,,,,,,,,,52.092336181921006,52.988,0.8956638180789938,52.092336181921006,53.118,1.0256638180789963,0.001354683967008441
