case,expected_from_scpi_vpp_mv,f0_hz,h1_vpp_error_mv,h2_vpp_error_mv,h3_vpp_error_mv,h5_vpp_error_mv,h7_vpp_error_mv,h8_vpp_error_mv,measured_vpp_median_mv,vpp_error_vs_scpi_mv,vpp_frame_stddev_mv
low50_h7_h8,50.00000039318034,10000.0,1.8495424755999998,,,,1.0992797328999977,0.49239411399999966,53.05109063435769,3.0510902411773486,0.00884743708440767
high250_h5_h8,250.00000139621253,60000.0,3.0439246970000085,,,3.7177472878999964,,2.3382661136999943,258.50655086562375,8.506549469411226,0.029299594089671956
interp105_h2_h3,130.66353363390812,105000.0,-24.076,-14.984000000000002,-14.968000000000004,,,,91.45263127290485,-39.210902361003264,0.009427713250247195
edge495_h2_h3,125.1561369362023,165000.0,25.287999999999997,15.736000000000004,15.944000000000003,,,,164.9296440247915,39.773507088589184,0.010452996432973654
1MHz_interference_delta,,100000.0,0.01999999999999602,-0.012000000000000455,0.012000000000000455,,,,,,
