frequency_hz,target_vpp_mv,frames,measured_vpp_mean_mv,measured_vpp_median_mv,median_error_mv,frame_stddev_mv,frame_max_abs_error_mv,measured_frequency_mean_hz,frequency_error_hz
15000.0,50.0,25,50.06824,50.066,0.0660000000000025,0.006457739542596577,0.08400000000000318,15000.0,0.0
15000.0,75.0,25,75.11008,75.11,0.10999999999999943,0.006234869685887645,0.12399999999999523,15000.0,0.0
15000.0,125.0,25,125.03672,125.034,0.034000000000006025,0.009412842291252936,0.06199999999999761,15000.0,0.0
15000.0,175.0,25,175.05032,175.052,0.0519999999999925,0.00951092003962042,0.06800000000001205,15000.0,0.0
15000.0,225.0,25,224.99616,224.996,-0.003999999999990678,0.00997468796504447,0.027999999999991587,15000.0,0.0
15000.0,250.0,25,250.05768,250.056,0.056000000000011596,0.007749683864521819,0.07200000000000273,15000.0,0.0
55000.0,50.0,25,49.97216,49.972,-0.027999999999998693,0.0026484712571583457,0.03399999999999892,55000.0,0.0
55000.0,75.0,25,74.99216,74.992,-0.007999999999995566,0.006995312716384439,0.018000000000000682,55000.0,0.0
55000.0,125.0,25,124.81528,124.816,-0.1839999999999975,0.006520858839139615,0.20000000000000284,55000.0,0.0
55000.0,175.0,25,175.04112,175.04,0.03999999999999204,0.00859916274994406,0.057999999999992724,55000.0,0.0
55000.0,225.0,25,225.01304,225.014,0.014000000000010004,0.01130125656730385,0.03200000000001069,55000.0,0.0
55000.0,250.0,25,249.8616,249.862,-0.13800000000000523,0.010762899237655221,0.16599999999999682,55000.0,0.0
105000.0,50.0,25,49.82312,49.822,-0.17799999999999727,0.009750158973063633,0.19400000000000261,105000.0,0.0
105000.0,75.0,25,74.60848,74.608,-0.3919999999999959,0.004674355570557879,0.402000000000001,105000.0,0.0
105000.0,125.0,25,124.62624,124.626,-0.3739999999999952,0.009091886492912676,0.3919999999999959,105000.0,0.0
105000.0,175.0,25,174.43784,174.438,-0.5620000000000118,0.01142516520668137,0.5840000000000032,105000.0,0.0
105000.0,225.0,25,224.07256,224.072,-0.9279999999999973,0.01051505587241565,0.9480000000000075,105000.0,0.0
105000.0,250.0,25,249.09568000000002,249.092,-0.907999999999987,0.014115863416736594,0.9259999999999877,105000.0,0.0
205000.0,50.0,25,50.091120000000004,50.092,0.09199999999999875,0.00524839022939357,0.10000000000000142,205000.0,0.0
205000.0,75.0,25,74.84416,74.844,-0.1560000000000059,0.005626224311205175,0.16599999999999682,205000.0,0.0
205000.0,125.0,25,124.9612,124.962,-0.0379999999999967,0.00850411665018691,0.054000000000002046,205000.0,0.0
205000.0,175.0,25,174.98136,174.978,-0.02199999999999136,0.013129752472914612,0.036000000000001364,205000.0,0.0
205000.0,225.0,25,224.9308,224.928,-0.07200000000000273,0.009765244492587767,0.08400000000000318,205000.0,0.0
205000.0,250.0,25,250.02472,250.024,0.02400000000000091,0.014320670375370553,0.06200000000001182,205000.0,0.0
305000.0,50.0,25,50.00136,50.0,0.0,0.00639299616768255,0.012000000000000455,305000.0,0.0
305000.0,75.0,25,75.01448,75.014,0.013999999999995794,0.006794821557628747,0.028000000000005798,305000.0,0.0
305000.0,125.0,25,124.946,124.944,-0.055999999999997385,0.012432216214335325,0.0799999999999983,305000.0,0.0
305000.0,175.0,25,175.02112,175.02,0.020000000000010232,0.013399462675795618,0.0519999999999925,305000.0,0.0
305000.0,225.0,25,224.92696,224.926,-0.07400000000001228,0.010956203722096356,0.09200000000001296,305000.0,0.0
305000.0,250.0,25,249.96856,249.97,-0.030000000000001137,0.007869332881509393,0.0519999999999925,305000.0,0.0
405000.0,50.0,25,49.93544,49.934,-0.0660000000000025,0.007255783899758635,0.07600000000000051,405000.0,0.0
405000.0,75.0,25,74.88176,74.882,-0.117999999999995,0.005860238902980274,0.132000000000005,405000.0,0.0
405000.0,125.0,25,124.97784,124.98,-0.01999999999999602,0.011425165206682731,0.04800000000000182,405000.0,0.0
405000.0,175.0,25,175.0332,175.03,0.030000000000001137,0.01198665925101814,0.060000000000002274,405000.0,0.0
405000.0,225.0,25,224.90576,224.906,-0.09399999999999409,0.008358373047430864,0.11400000000000432,405000.0,0.0
405000.0,250.0,25,249.94896,249.95,-0.05000000000001137,0.009365810162501832,0.06800000000001205,405000.0,0.0
485000.0,50.0,25,50.01544,50.014,0.014000000000002899,0.006235896086369348,0.027999999999998693,485000.0,0.0
485000.0,75.0,25,74.99912,74.998,-0.001999999999995339,0.0069760733941097094,0.016000000000005343,485000.0,0.0
485000.0,125.0,25,124.99336,124.992,-0.007999999999995566,0.009255830594821325,0.02200000000000557,485000.0,0.0
485000.0,175.0,25,175.08456,175.082,0.08199999999999363,0.007930094576990487,0.10400000000001342,485000.0,0.0
485000.0,225.0,25,225.0688,225.07,0.06999999999999318,0.011085125168442097,0.08400000000000318,485000.0,0.0
485000.0,250.0,25,250.14584,250.148,0.14799999999999613,0.010938665366487207,0.1699999999999875,485000.0,0.0
495000.0,50.0,25,50.16696,50.166,0.16599999999999682,0.011258703300113675,0.19400000000000261,495000.0,0.0
495000.0,75.0,25,75.07328,75.076,0.0759999999999934,0.008924214251125424,0.09000000000000341,495000.0,0.0
495000.0,125.0,25,125.31272,125.312,0.3119999999999976,0.01067153222362933,0.3400000000000034,495000.0,0.0
495000.0,175.0,25,175.43088,175.43,0.4300000000000068,0.010882352686806047,0.4519999999999982,495000.0,0.0
495000.0,225.0,25,225.53472,225.534,0.5339999999999918,0.014253476768844135,0.5579999999999927,495000.0,0.0
495000.0,250.0,25,250.62648,250.628,0.6279999999999859,0.009073566002403518,0.6419999999999959,495000.0,0.0
500000.0,50.0,25,49.9932,49.94,-0.060000000000002274,0.1912786449136441,0.46000000000000085,500000.0,0.0
500000.0,75.0,25,75.02096,75.008,0.007999999999995566,0.13070531129223542,0.2540000000000049,500000.0,0.0
500000.0,125.0,25,124.8776,124.92,-0.0799999999999983,0.14126287551936767,0.382000000000005,500000.0,0.0
500000.0,175.0,25,174.99416,174.986,-0.014000000000010004,0.10320607734043839,0.2400000000000091,500000.0,0.0
500000.0,225.0,25,224.96208000000001,224.934,-0.0660000000000025,0.10834239059573982,0.24199999999999022,500000.0,0.0
500000.0,250.0,25,249.8668,249.884,-0.11600000000001387,0.0804487414444763,0.34200000000001296,500000.0,0.0
